Input, OSD0, OSD1, OSD2
1076,126,119,8
1077,59,37,25
1078,115,43,84
1079,108,33,19
1080,97,67,76
1081,19,61,93
1082,113,18,61
1083,64,83,22
1084,35,72,5
1085,87,67,28
1086,122,0,68
1087,72,7,122
1088,42,107,90
1089,102,41,1
1090,114,27,14
1091,86,35,26
1092,92,76,87
1093,97,66,108
1094,72,3,47
1095,90,59,68
1096,91,72,46
1097,24,45,125
1098,27,106,4
1099,81,40,30
1100,95,20,12
1101,92,81,102
1102,3,27,106
1103,117,23,81
1104,39,31,87
1105,22,38,82
1106,6,35,9
1107,126,93,68
1108,18,65,87
1109,10,63,26
1110,122,23,26
1111,10,4,116
1112,114,101,58
1113,101,115,5
1114,42,93,31
1115,96,91,17
1116,115,127,26
1117,97,37,53
1118,75,25,0
1119,91,85,126
1120,106,85,115
1121,127,23,68
1122,104,115,75
1123,59,82,12
1124,36,71,31
1125,27,70,45
1126,58,54,11
1127,7,10,125
1128,110,75,53
1129,2,18,25
1130,31,70,97
1131,84,104,29
1132,29,16,8
1133,69,94,28
1134,119,97,71
1135,49,105,85
1136,45,70,27
1137,90,79,39
1138,42,35,13
1139,73,66,86
1140,20,35,15
1141,74,125,70
1142,40,60,16
1143,96,106,15
1144,73,108,33
1145,88,66,98
1146,75,92,54
1147,11,75,37
1148,127,43,78
1149,47,59,71
1150,56,100,115
1151,55,93,98
1152,36,44,99
1153,68,117,108
1154,32,53,90
1155,118,90,104
1156,111,36,50
1157,25,82,16
1158,69,74,89
1159,75,46,103
1160,21,36,10
1161,17,28,5
1162,64,59,98
1163,70,4,100
1164,41,99,29
1165,79,44,84
1166,65,124,16
1167,79,80,89
1168,117,86,71
1169,75,118,123
1170,78,43,19
1171,15,47,86
1172,97,105,113
1173,57,106,37
1174,53,71,45
1175,67,88,19
1176,20,27,48
1177,18,12,75
1178,23,111,35
1179,45,120,11
1180,61,122,47
1181,17,1,108
1182,93,8,79
1183,125,119,15
1184,40,53,102
1185,30,113,98
1186,48,116,36
1187,74,105,82
1188,4,47,127
1189,122,33,86
1190,82,30,23
1191,65,127,111
1192,109,34,102
1193,47,113,105
1194,112,32,62
1195,27,45,81
1196,56,41,38
1197,29,81,42
1198,109,99,81
1199,32,28,125
1200,89,22,118
1201,127,12,51
1202,92,33,41
1203,53,61,100
1204,7,42,71
1205,91,27,73
1206,68,109,25
1207,59,5,10
1208,62,50,18
1209,15,32,7
1210,1,116,88
1211,88,49,21
1212,1,10,62
1213,75,65,106
1214,93,49,56
1215,79,88,68
1216,0,87,58
1217,53,102,42
1218,46,124,101
1219,104,116,80
1220,6,53,63
1221,55,5,45
1222,74,6,99
1223,73,2,92
1224,99,20,108
1225,48,10,125
1226,10,88,119
1227,103,104,115
1228,104,83,35
1229,69,47,96
1230,30,77,12
1231,88,40,87
1232,66,0,8
1233,24,12,125
1234,87,30,0
1235,63,38,45
1236,59,40,102
1237,16,117,67
1238,50,61,106
1239,53,14,44
1240,83,90,65
1241,33,116,2
1242,26,111,101
1243,15,125,25
1244,4,36,69
1245,14,51,76
1246,40,1,17
1247,67,104,124
1248,60,111,43
1249,110,42,61
1250,73,46,96
1251,107,79,35
1252,70,53,37
1253,59,40,49
1254,102,9,19
1255,65,34,126
1256,16,26,56
1257,9,42,127
1258,123,18,43
1259,33,66,96
1260,77,97,70
1261,88,126,19
1262,75,55,43
1263,33,56,42
1264,79,40,15
1265,57,77,7
1266,70,45,88
1267,113,27,88
1268,113,108,89
1269,52,7,74
1270,105,94,37
1271,27,124,42
1272,0,102,112
1273,90,76,55
1274,29,119,109
1275,15,123,35
1276,28,20,83
